2330-台積電,2317-鴻海,2454-聯發科,2308-台達電,2382-廣達,"2891-中信金",2881-富邦金,2882-國泰金,3711-日月光投控,2303-聯電
45.45,1020,239,1480,291,1340,90.6,65.7,42.3,195
45.5,1020,242.5,1460,289.5,1330,91.6,65.7,42.05,193
45.4,1010,239,1450,293.5,1295,91.9,65.7,42,196
45.6,1070,246.5,1480,309.5,1335,92.1,65.7,42.65,202.5
46,1075,250,1475,304,1315,90.9,64.8,41.9,203
45.6,1060,260,1505,308,1300,91.8,64.8,42,221
45.85,1010,262,1505,306,1310,92.4,64.6,41.95,225
46.4,995,257.5,1500,300.5,1310,91.2,64,41.85,247.5
47.6,983,251.5,1510,297.5,1300,92,63.9,42.05,246
47.4,975,244,1505,287.5,1315,92.5,64.6,42.4,239
47.1,967,247,1460,289.5,1330,90.6,64.1,42.25,235
45.8,978,248,1465,293,1290,91.8,64.7,42.55,234
45,965,244,1460,287,1260,90.5,63.5,41.9,228.5
45.2,982,249.5,1475,291.5,1250,90.6,63.8,42.4,228.5
45.25,972,246.5,1465,291.5,1240,91,64.8,43.35,228
45,967,251,1475,288,1245,91.7,64.9,43.05,227
44.45,958,252,1460,285,1245,94,65.9,42.9,231.5
44.15,922,241,1430,279.5,1230,93.3,66,42.7,222.5
43.85,916,236,1445,276,1230,91.8,65.3,42.2,220
44.2,898,230,1405,270,1170,89.5,64.8,42.6,215
44.35,894,229,1395,267,1160,88.1,64.2,42.9,209.5
44.65,954,236.5,1455,274,1185,89.3,64.7,43.3,222.5
45,895,225,1385,270,1145,88.7,63.6,43.4,209
46.55,893,220,1375,272,1150,92,65.5,44.1,210.5
45.1,910,219,1415,275,1185,92.9,65.1,43.3,212
45.45,945,227,1440,279.5,1300,93.2,65.8,43.4,217.5
45.95,942,231,1435,281.5,1340,93.9,65.8,44,230.5
45.8,932,225.5,1440,282,1395,92.6,64.2,43.45,229.5
